ID,最近,次近,再次近
202001,202001,202089,202081
202002,202002,202012,202053
202003,202003,202036,202016
202004,202004,202085,202054
202005,202005,202038,202057
202006,202006,202059,202056
202007,202007,202048,202045
202008,202008,202004,202054
202010,202010,202014,202077
202011,202011,202067,202058
202012,202012,202002,202005
202013,202013,202107,202050
202014,202014,202034,202081
202015,202015,202084,202039
202016,202016,202053,202038
202017,202017,202064,202061
202018,202018,202089,202064
202019,202019,202063,202076
202020,202020,202094,202004
202021,202021,202041,202080
202022,202022,202095,202101
202023,202023,202029,202065
202024,202024,202044,202027
202025,202025,202053,202036
202026,202026,202062,202074
202027,202027,202024,202094
202028,202028,202038,202101
202029,202029,202075,202056
202030,202030,202041,202086
202031,202031,202064,202034
202032,202082,202032,202100
202033,202033,202050,202013
202034,202034,202089,202014
202035,202035,202075,202044
202036,202036,202003,202053
202037,202037,202106,202047
202038,202038,202005,202028
202039,202039,202084,202048
202040,202040,202005,202012
202041,202041,202030,202048
202042,202042,202005,202038
202043,202043,202063,202076
202044,202044,202024,202085
202045,202045,202059,202056
202046,202046,202048,202041
202047,202047,202101,202028
202048,202048,202064,202007
202049,202049,202034,202081
202050,202050,202107,202033
202051,202051,202063,202077
202052,202052,202062,202034
202053,202053,202016,202036
202054,202054,202085,202004
202056,202056,202059,202029
202057,202057,202005,202038
202058,202058,202064,202076
202059,202059,202056,202006
202060,202060,202062,202087
202061,202061,202017,202064
202062,202062,202064,202017
202063,202063,202076,202064
202064,202064,202017,202089
202065,202065,202029,202059
202066,202066,202034,202062
202067,202067,202099,202064
202068,202068,202104,202107
202069,202069,202010,202081
202070,202070,202079,202052
202071,202071,202062,202095
202072,202072,202069,202010
202073,202073,202107,202050
202074,202074,202026,202107
202075,202075,202035,202044
202076,202064,202076,202063
202077,202077,202092,202095
202078,202078,202075,202015
202079,202079,202090,202070
202080,202080,202089,202086
202081,202081,202001,202014
202082,202032,202082,202100
202083,202083,202085,202106
202084,202084,202015,202039
202085,202085,202054,202004
202086,202086,202089,202080
202087,202087,202062,202108
202088,202088,202096,202060
202089,202089,202064,202018
202090,202090,202079,202070
202091,202091,202064,202099
202092,202092,202077,202095
202093,202093,202086,202069
202094,202094,202004,202085
202095,202095,202076,202092
202096,202096,202090,202097
202097,202097,202035,202023
202098,202098,202037,202047
202099,202099,202067,202091
202100,202100,202082,202078
202101,202101,202047,202028
202102,202102,202095,202056
202104,202104,202068,202107
202105,202105,202042,202049
202106,202106,202037,202085
202107,202107,202073,202050
202108,202108,202050,202028
202109,202109,202101,202053
